   Current data set:
   NAME =	dj-caryophyllene_oxide	EXPNO =	10	PROCNO = 1
   DU   =	/Volumes/lacie_case/nmr_data/nmrge500_3/data/jeannerat/data/nmr/nmr

   Number   Integrated Region     Integral
     1      5.046      4.953       101.37313
     2      4.946      4.824       101.99509
     3      2.990      2.831       100.00000
     4      2.738      2.583       101.21400
     5      2.477      2.327       101.62187
     6      2.327      2.228       103.24729
     7      2.231      2.072       205.03180
     8      1.843      1.747       103.19520
     9      1.744      1.571       328.05209
    10      1.545      1.396       104.78762
    11      1.399      1.276       107.04894
    12      1.266      1.174       302.34804
    13      1.097      0.832       724.93557
