SIMFIT RESULTS
==============

Dataset : /opt/topspin3.5pl5/data/jeannerat/data/nmr/nmr/dj-caryophyllene_oxide/10/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 481 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.722e+00     3.343e-02  
T     =       1.762s       13.893s  

RSS   =    9.163e-04
SD    =    5.527e-03

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.007e+00    7.500e-03
    2       2.000s     6.058e-01     5.825e-01   -2.335e-02
    3       3.000s     3.300e-01     3.407e-01    1.075e-02
    4       4.000s     1.908e-01     2.030e-01    1.215e-02
    5       5.000s     1.214e-01     1.242e-01    2.736e-03
    6       6.000s     7.987e-02     7.887e-02   -9.988e-04
    7       7.000s     5.411e-02     5.261e-02   -1.507e-03
    8       8.000s     3.938e-02     3.717e-02   -2.212e-03
    9       9.000s     3.079e-02     2.791e-02   -2.884e-03
   10      10.000s     2.550e-02     2.218e-02   -3.316e-03
   11      11.000s     2.114e-02     1.849e-02   -2.645e-03
   12      12.000s     1.744e-02     1.599e-02   -1.445e-03
   13      13.000s     1.487e-02     1.419e-02   -6.803e-04
   14      14.000s     1.312e-02     1.281e-02   -3.015e-04
   15      15.000s     1.187e-02     1.170e-02   -1.707e-04
   16      16.000s     1.081e-02     1.076e-02   -5.057e-05
   17      17.000s     9.810e-03     9.945e-03    1.355e-04
   18      18.000s     8.708e-03     9.214e-03    5.057e-04
   19      19.000s     7.695e-03     8.551e-03    8.567e-04
   20      20.000s     6.928e-03     7.944e-03    1.017e-03
   21      21.000s     6.338e-03     7.385e-03    1.048e-03
   22      22.000s     5.731e-03     6.868e-03    1.138e-03
   23      23.000s     5.431e-03     6.389e-03    9.578e-04
   24      24.000s     5.145e-03     5.944e-03    7.986e-04
   25      25.000s     4.885e-03     5.530e-03    6.456e-04
   26      26.000s     4.491e-03     5.146e-03    6.551e-04
   27      27.000s     4.297e-03     4.788e-03    4.910e-04
   28      28.000s     4.183e-03     4.455e-03    2.720e-04
   29      29.000s     4.127e-03     4.146e-03    1.870e-05
   30      30.000s     3.838e-03     3.858e-03    1.981e-05

============================================================

