SIMFIT RESULTS
==============

Dataset : /opt/topspin3.5pl5/data/jeannerat/data/nmr/nmr/dj-caryophyllene_oxide/10/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 470 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    2.114e+00     8.075e-02  
T     =       1.228s        5.025s  

RSS   =    5.164e-04
SD    =    4.149e-03

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.003e+00    2.883e-03
    2       2.000s     4.828e-01     4.693e-01   -1.351e-02
    3       3.000s     2.134e-01     2.283e-01    1.488e-02
    4       4.000s     1.133e-01     1.179e-01    4.586e-03
    5       5.000s     6.826e-02     6.595e-02   -2.306e-03
    6       6.000s     4.534e-02     4.046e-02   -4.880e-03
    7       7.000s     3.180e-02     2.714e-02   -4.660e-03
    8       8.000s     2.236e-02     1.957e-02   -2.790e-03
    9       9.000s     1.583e-02     1.486e-02   -9.724e-04
   10      10.000s     1.133e-02     1.165e-02    3.288e-04
   11      11.000s     8.426e-03     9.319e-03    8.929e-04
   12      12.000s     6.863e-03     7.535e-03    6.722e-04
   13      13.000s     5.359e-03     6.130e-03    7.706e-04
   14      14.000s     3.944e-03     5.003e-03    1.060e-03
   15      15.000s     2.770e-03     4.092e-03    1.321e-03
   16      16.000s     1.919e-03     3.349e-03    1.430e-03
   17      17.000s     1.218e-03     2.743e-03    1.525e-03
   18      18.000s     8.346e-04     2.247e-03    1.413e-03
   19      19.000s     5.931e-04     1.842e-03    1.248e-03
   20      20.000s     3.747e-04     1.509e-03    1.134e-03
   21      21.000s     1.188e-04     1.237e-03    1.118e-03
   22      22.000s     1.427e-04     1.014e-03    8.708e-04
   23      23.000s    -1.365e-04     8.306e-04    9.671e-04
   24      24.000s    -3.889e-04     6.807e-04    1.070e-03
   25      25.000s    -4.770e-04     5.579e-04    1.035e-03
   26      26.000s    -4.308e-04     4.572e-04    8.881e-04
   27      27.000s    -3.643e-04     3.747e-04    7.390e-04
   28      28.000s    -4.854e-04     3.071e-04    7.925e-04
   29      29.000s    -8.031e-04     2.517e-04    1.055e-03
   30      30.000s    -8.220e-04     2.063e-04    1.028e-03

============================================================

